Variable:,pr
,Paraguay,"Alto Paraguay","Alto Parana",Amambay,Boqueron,Caaguazu,Caazapa,Canindeyu,Central,Concepcion,Cordillera,Guaira,Itapua,Misiones,Neembucu,Paraguari,"Presidente Hayes","San Pedro"
1989,1630.78,1417.10,2122.02,1730.38,1338.62,1951.69,2001.69,1870.38,1817.88,1777.00,1936.53,1934.31,1956.01,1661.02,1556.84,1803.65,1698.37,1922.85
1990,1717.29,1392.26,2344.63,1975.99,1137.72,2279.72,2309.24,2119.28,2157.34,1997.22,2201.75,2232.36,2326.76,2179.67,2072.08,2117.21,1769.25,2185.62
1991,1437.02,1212.72,1766.90,1442.13,1132.40,1709.64,1727.27,1529.14,1688.35,1563.13,1700.39,1716.02,1712.91,1627.72,1637.10,1693.28,1578.30,1717.62
1992,1828.38,1777.37,2132.38,1976.73,1389.64,2117.90,2018.69,2050.83,1927.12,2216.70,2057.57,2063.51,1997.13,1634.03,1568.48,1928.21,1990.20,2188.88
1993,1368.49,1085.21,1862.78,1591.48,905.34,1776.09,1884.87,1623.51,1697.69,1648.03,1850.06,1832.92,1874.05,1626.99,1661.12,1664.64,1428.01,1772.38
1994,1522.29,1241.36,2010.25,1735.47,982.73,1971.47,2027.75,1900.55,1824.80,1740.78,1943.48,1991.81,2117.21,1892.54,1794.53,1897.13,1633.24,1897.07
1995,1408.13,1266.01,1881.82,1663.07,1024.44,1837.22,1777.39,1805.70,1493.32,1572.95,1752.56,1806.26,1718.12,1414.02,1291.20,1586.31,1429.47,1728.61
1996,1689.65,1192.68,2403.46,1745.59,1113.23,2348.87,2425.93,2121.44,2374.62,1828.27,2309.41,2314.45,2409.54,2168.07,2168.59,2343.73,1815.05,2229.08
1997,1654.84,1263.67,2257.46,1952.71,1115.00,2305.45,2148.42,2117.56,2088.32,1937.69,2264.80,2217.42,2184.17,2003.56,1860.98,2089.59,1708.50,2270.95
1998,1767.07,1282.61,2473.97,1969.72,1112.74,2334.28,2532.43,2199.64,2510.77,1987.16,2438.98,2371.98,2724.84,2602.03,2516.37,2516.91,1800.62,2263.49
1999,1291.13,1035.72,1661.63,1247.22,1014.62,1658.20,1775.14,1482.77,1638.31,1214.26,1659.20,1704.35,1806.08,1662.28,1567.86,1658.72,1313.53,1540.39
2000,1484.44,1281.91,1871.55,1628.80,1056.55,1657.84,1784.02,1782.80,1666.75,1739.79,1532.01,1584.33,1978.81,1933.58,1951.67,1755.39,1572.37,1722.50
2001,1385.02,1125.89,2022.90,1680.14,851.40,1953.30,1977.56,1859.95,1796.71,1521.57,1840.26,1893.51,2067.83,1767.01,1686.34,1842.49,1353.08,1739.38
2002,1216.68,769.43,1778.19,1193.40,746.01,1653.77,2114.94,1418.18,1784.08,1228.88,1756.46,1904.88,2315.31,2370.16,2124.78,2073.75,1140.92,1452.26
2003,1308.65,1131.03,1558.62,1416.37,958.82,1540.97,1697.20,1463.38,1650.09,1422.80,1610.59,1605.04,1720.20,1744.49,1611.66,1739.46,1345.81,1550.30
2004,1180.13,1090.28,1446.66,1356.46,871.12,1350.98,1457.01,1413.73,1346.08,1348.26,1318.51,1414.82,1449.30,1389.68,1326.82,1397.10,1202.07,1350.67
2005,1258.21,1091.20,1539.22,1327.70,1014.35,1536.11,1626.31,1449.36,1409.23,1285.85,1530.96,1599.22,1718.59,1501.79,1350.33,1480.85,1232.50,1527.65
2006,1285.79,1180.45,1461.00,1435.78,983.43,1412.89,1595.06,1395.12,1416.48,1488.97,1436.39,1481.84,1623.83,1511.55,1433.86,1477.05,1353.62,1430.61
2007,1267.56,1117.86,1608.24,1310.83,958.51,1444.72,1629.81,1344.74,1472.80,1306.23,1406.65,1527.81,1766.33,1620.68,1561.41,1578.69,1347.01,1313.09
2008,1295.74,1205.14,1468.52,1575.67,1054.46,1462.02,1368.92,1573.81,1247.99,1645.71,1375.67,1379.06,1388.38,1310.46,1217.56,1322.14,1319.43,1563.47
2009,1290.12,1089.53,1805.15,1653.66,908.55,1657.46,1628.99,1726.12,1450.64,1539.92,1559.74,1561.75,1657.60,1479.60,1370.53,1459.22,1260.39,1660.33
2010,1247.66,989.97,1892.40,1433.27,787.77,1734.76,1972.92,1617.32,1601.13,1349.89,1653.27,1844.46,2039.27,1763.99,1623.01,1788.01,1124.48,1551.23
2011,1270.25,1068.93,1736.63,1459.24,985.44,1659.00,1670.94,1605.34,1375.84,1440.27,1437.89,1618.26,1726.94,1519.97,1409.27,1468.10,1202.96,1489.10
2012,1218.67,1182.48,1409.57,1184.74,1091.50,1384.53,1357.58,1355.52,1172.18,1217.81,1287.04,1348.01,1327.68,1151.96,1112.86,1235.05,1262.85,1325.91
2013,1214.13,955.17,1911.65,1509.65,792.19,1697.59,1858.10,1712.75,1463.65,1394.04,1568.35,1748.14,1822.43,1523.93,1365.01,1593.31,1125.07,1465.70
2014,1527.11,1203.44,2171.53,1585.52,950.76,2083.22,2354.24,1827.06,1909.49,1629.33,1940.40,2122.33,2480.43,2239.90,2059.10,2050.21,1526.48,1893.10
2015,1676.66,1215.37,2466.59,1981.43,1080.88,2240.55,2330.84,2216.51,2049.78,2007.83,2046.12,2252.96,2416.44,1986.11,1951.41,2147.24,1802.78,2151.64
2016,1357.96,1204.74,1781.80,1580.71,852.13,1720.01,1653.20,1823.02,1553.08,1493.83,1623.12,1596.45,1696.18,1553.65,1569.12,1540.73,1482.94,1733.31
2017,1452.39,1264.84,1828.43,1668.79,1150.14,1783.27,1897.23,1670.62,1708.01,1579.90,1740.61,1839.41,1955.79,1751.28,1719.48,1797.47,1376.26,1663.01
2018,1361.47,1220.12,1613.25,1388.11,1200.51,1468.59,1561.96,1461.17,1453.04,1476.40,1449.31,1522.21,1576.23,1422.45,1384.15,1494.32,1426.48,1508.37
2019,1282.64,1005.64,1565.10,1258.48,1045.58,1432.77,1464.89,1500.81,1277.51,1342.82,1340.22,1291.67,1569.11,1456.93,1362.40,1320.71,1506.09,1614.61
2020,940.48,819.64,1151.53,1204.09,674.97,1104.95,1175.87,1098.56,1034.51,1172.05,1074.35,1111.85,1218.48,1148.72,1000.45,1165.50,950.36,1150.70
